	Protein	Cell Type	Expression p-value	Expression Sig	tumor	protein synthesis	lipid synthesis	growth	cell cycle	cytoskeletal activity	apoptosis
16	FASTKD2	HSkMC	1.05E-14	TRUE	-0.592003943	-0.101081324	-0.353868096	-0.206752858	0.469978512	0.089332343	0.928257888
17	FKBP4	HSkMC	2.59E-19	TRUE	-0.277935482	0.472467273	0.514067533	-0.439449637	-0.34947762	-0.629936507	-0.930926278
18	FUBP3	HSkMC	3.85E-11	TRUE	0.142535296	-0.686412124	-0.344030562	0.032630296	0.945417357	-0.799085937	-0.153643398
19	GRSF1	HSkMC	2.50E-09	TRUE	0.908269698	0.464566701	0.304430346	0.36671772	0.903267908	-0.308353756	0.231086149
20	GRWD1	HSkMC	4.03E-15	TRUE	0.450788986	-0.481613861	-0.550255188	-0.360475149	0.504162396	-0.71631105	-0.512650346
21	GTF2F1	HSkMC	2.54E-11	TRUE	-0.413095986	-0.416034481	0.96654732	0.065888671	0.886956178	-0.54448141	-0.638801413
22	HNRNPA1	HSkMC	1.20E-16	TRUE	-0.466481461	0.706369593	-0.72678722	0.026355147	-0.921705163	0.592689287	0.640797268
23	HNRNPC	HSkMC	2.69E-47	TRUE	-0.473278428	0.673463431	-0.052603059	0.228972006	-0.057453856	-0.028576683	-0.9327022
24	HNRNPK	HSkMC	3.27E-14	TRUE	-0.429190375	-0.381366317	0.174880301	0.93254939	0.905746851	-0.750899484	-0.167954167
25	HNRNPM	HSkMC	0.003006932	TRUE	0.754324256	0.991417633	-0.179558683	-0.283845521	0.72583939	0.357838884	0.751671852
26	HNRNPU	HSkMC	6.16E-09	TRUE	-0.08595454	0.681103422	-0.415416199	0.92863889	0.883710069	0.410962063	0.681974559
27	HNRNPUL1	HSkMC	1.32E-07	TRUE	-0.999891394	0.510541203	0.505444912	-0.372563046	0.426205908	-0.870254942	-0.624108346
28	IGF2BP1	HSkMC	1.56E-11	TRUE	-0.586975617	0.081265178	0.615161055	0.454739625	-0.057052588	0.814222068	-0.744595391
29	IGF2BP3	HSkMC	1.72E-16	TRUE	0.781040396	0.854681905	0.487567105	-0.256679742	-0.38482851	-0.762472387	0.183588701
30	ILF3	HSkMC	2.65E-30	TRUE	-0.334958899	0.269173154	-0.55504032	0.73703104	0.790195559	-0.15829541	0.099625964
31	LARP4	HSkMC	8.16E-05	TRUE	-0.255062149	-0.746936708	0.409850614	0.147726815	-0.409815451	-0.131775164	-0.070814754
32	LARP7	HSkMC	0.00061777	TRUE	0.864805021	-0.676954107	0.308005884	0.434611917	-0.199737071	-0.785690119	0.932087111
33	LIN28B	HSkMC	0.025933292	TRUE	-0.246168539	-0.056216427	0.602847431	-0.07514016	0.705455499	-0.917791606	0.626869056
34	LSM11	HSkMC	0.000198312	TRUE	0.429883879	-0.307632833	-0.081900706	0.935611822	0.819127087	-0.029179204	0.762366035
35	NCBP2	HSkMC	1.53E-41	TRUE	-0.382824847	0.710474711	-0.541114192	-0.658953807	0.753843764	-0.803247741	0.803893287
36	NKRF	HSkMC	6.35E-20	TRUE	0.077310865	0.213196347	-0.349435914	0.91619186	-0.53225954	-0.290578248	-0.156895343
37	NOL12	HSkMC	0.000374825	TRUE	-0.834163155	0.791072919	0.816844199	0.945803727	-0.506787231	0.029305086	0.615606391
38	PCBP2	HSkMC	1.94E-09	TRUE	0.911683367	-0.588641074	-0.615897979	-0.330836141	0.490076004	0.535472633	-0.495031596
39	PPIG	HSkMC	1.91E-33	TRUE	0.74961126	0.130408503	-0.027216589	-0.449556017	0.87849492	0.299105517	0.673780052
40	PRPF8	HSkMC	9.25E-17	TRUE	0.271838501	0.80559239	0.770936564	0.813159343	-0.279613851	-0.288518052	0.537256958
41	PTBP1	HSkMC	0.002406317	TRUE	-0.56563414	-0.958058891	-0.978181188	0.887421764	0.975516427	0.945729104	0.714335292
42	QKI	HSkMC	4.35E-13	TRUE	-0.720803382	-0.085645546	0.550503102	0.084763947	0.391448117	-0.582345891	-0.084158381
43	RBFOX2	HSkMC	5.63E-15	TRUE	-0.091150224	0.134935947	0.734872858	0.881204125	-0.208493117	-0.064221249	-0.247791795
44	RBM15	HSkMC	3.73E-46	TRUE	0.429609444	-0.764962737	0.368137071	0.832003368	0.232973229	-0.31837844	0.776284114
45	RBM22	HSkMC	1.98E-11	TRUE	0.227520845	0.286822423	0.45504949	0.069493793	0.138078143	0.979376309	0.60129762
46	RPS5	HSkMC	1.94E-08	TRUE	-0.977043977	-0.999935617	0.398028294	0.95384268	-0.628953724	0.624096146	-0.86080413
47	SF3A3	HSkMC	0.000347953	TRUE	0.768019277	-0.774254267	-0.134533296	-0.080172611	-0.260987486	0.527624115	0.765416719
48	SF3B4	HSkMC	1.88E-10	TRUE	-0.586711797	-0.558965274	0.418937468	0.416917013	-0.182845534	-0.033289779	-0.353091815
49	SFPQ	HSkMC	2.53E-07	TRUE	-0.493596366	-0.252213294	-0.370576393	0.336719235	-0.839089202	-0.096884384	-0.960402607
50	SLTM	HSkMC	1.41E-30	TRUE	0.259110178	0.448305236	0.293513318	-0.140441007	0.460836368	0.878403586	0.314658302
51	SMNDC1	HSkMC	6.03E-12	TRUE	-0.464424346	-0.54779553	-0.352469639	0.921014344	-0.893266016	-0.84264053	0.86471679
52	SND1	HSkMC	2.07E-06	TRUE	0.347541312	-0.060965846	0.536387951	0.770083303	0.214888119	0.814396462	0.172518773
53	SRSF1	HSkMC	7.13E-35	TRUE	-0.68504069	0.395674243	-0.926531695	-0.650599019	0.225576239	-0.228884112	0.585535464
54	SRSF7	HSkMC	5.57E-09	TRUE	0.655587694	0.698017549	-0.664788363	0.179627564	-0.368526679	0.517529025	0.17327197
55	SRSF9	HSkMC	1.10E-35	TRUE	0.563405791	0.464702357	0.385050557	0.938093548	-0.08038279	0.22060511	0.566334036
56	SUB1	HSkMC	2.63E-11	TRUE	0.199008928	0.410084504	-0.214921091	0.677291844	0.808835263	-0.279295923	-0.201204988
57	SUGP2	HSkMC	1.18E-11	TRUE	-0.666736455	-0.656923767	0.009190897	-0.23557846	0.508490648	0.890290581	0.043697451
58	SUPV3L1	HSkMC	0.000949986	TRUE	0.97765543	-0.967873796	0.190510887	0.804915949	0.543506434	0.378585895	0.575328948
59	TAF15	HSkMC	5.37E-19	TRUE	0.408669527	0.56607702	-0.729478086	0.355319657	-0.700227177	0.612938581	-0.388619755
60	TBRG4	HSkMC	0.001808465	TRUE	-0.112880484	0.063278544	0.730500407	-0.330347093	-0.07675947	0.364973013	0.531229865
61	TIA1	HSkMC	3.65E-07	TRUE	-0.565869479	0.463893947	-0.478662581	-0.154445465	-0.548028326	0.639917574	0.533159109
62	TRA2A	HSkMC	0.013745341	TRUE	0.193822576	-0.019398172	-0.922659627	-0.432214262	0.251660866	0.541050358	-0.408029828
63	TROVE2	HSkMC	2.15E-05	TRUE	-0.806866028	0.182325807	0.697534531	0.054403213	-0.019731517	0.606627745	-0.668731333
64	U2AF1	HSkMC	0.12481651	FALSE	-0.878319881	-0.432963126	-0.8052205	-0.079847035	0.907280403	-0.002683523	0.246861592
65	U2AF2	HSkMC	1.20E-05	TRUE	-0.215741957	-0.846873945	-0.483582859	0.968249164	-0.680895378	-0.439711262	-0.577652258
66	UCHL5	HSkMC	2.19E-12	TRUE	-0.105312355	0.824058865	-0.955903195	-0.03182526	-0.163400479	-0.628818231	0.230432847
67	XPO5	HSkMC	9.77E-13	TRUE	0.633377989	0.330208864	0.045886357	0.619242621	-0.817873084	-0.96381452	-0.62918276
68	XRCC6	HSkMC	0.0004096	TRUE	0.275699184	0.645974953	0.125840499	0.40936805	-0.920887249	0.162040009	-0.692096338
69	XRN2	HSkMC	3.87E-12	TRUE	-0.300758973	0.179076696	0.26292224	-0.880030362	-0.918093068	0.752316957	0.504368143
70	AARS	HAd	2.90E-06	TRUE	-0.445845016	0.695416398	-0.328226044	0.622708114	-0.030211102	-0.707191443	0.387784677
71	AGGF1	HAd	0.002596535	TRUE	-0.841354007	-0.424244766	-0.089279509	-0.930038017	0.932989112	0.997536439	0.72234688
72	AKAP8L	HAd	2.32E-06	TRUE	0.449241496	0.689385314	-0.243335912	0.650957726	-0.002705061	-0.511443628	0.138048035
73	AUH	HAd	2.17E-05	TRUE	-0.262315135	0.703886977	-0.458300798	-0.159287304	-0.85571237	-0.977994519	-0.215024308
74	BUD13	HAd	2.09E-06	TRUE	0.323971647	0.462714213	-0.069210007	-0.876165315	-0.911283207	-0.634053	0.65186235
75	CPSF6	HAd	10.57171029	FALSE	0.051539379	-0.894131342	-0.819785514	-0.369340067	0.428694942	-0.33373265	-0.991159451
76	CSTF2T	HAd	6.55E-13	TRUE	-0.641705228	0.630453322	0.593742008	-0.252365439	-0.111158488	0.606878261	0.740113757
77	DDX24	HAd	5.36E-09	TRUE	-0.32024389	0.583653141	-0.164959064	-0.61389473	0.367835777	-0.323844921	-0.747918455
78	DDX3X	HAd	2.29E-13	TRUE	0.941906337	-0.108720705	0.049605237	-0.702744676	-0.426965289	-0.870796551	0.20597738
79	DDX42	HAd	4.55E-06	TRUE	-0.375080005	0.767984756	-0.647725346	-0.311957738	0.720589107	-0.770356059	0.122090627
80	DDX55	HAd	7.53E-08	TRUE	-0.035236303	0.820701501	0.639559352	-0.298745199	0.364165551	0.078374316	0.760754995
81	DDX6	HAd	2.10E-06	TRUE	-0.837145591	0.259716874	-0.296660993	0.023570036	-0.892158579	-0.78519527	-0.870497404
82	DGCR8	HAd	4.37E-13	TRUE	0.323404533	-0.99880395	0.327551113	-0.092482317	-0.088735004	-0.942735054	0.779813454
83	DHX30	HAd	1.75E-12	TRUE	-0.473155101	-0.327802975	-0.902170891	-0.629452718	0.998455332	0.565364032	-0.724139807
84	DROSHA	HAd	8.66E-08	TRUE	-0.993931923	0.433950066	0.954369479	-0.36009842	0.778374668	-0.175584386	-0.663274749
85	EFTUD2	HAd	1.92E-08	TRUE	0.225168597	0.680333569	0.658407063	-0.591672621	-0.713761253	0.984799828	0.741742992
86	EIF4G2	HAd	1.84E-20	TRUE	-0.00994178	0.530676654	0.64110374	-0.924858674	0.325405747	-0.789960612	-0.74336298
87	EWSR1	HAd	8.63E-31	TRUE	0.876998809	-0.708747762	0.538925586	0.344357024	-0.103835934	-0.203155253	-0.454106829
88	FAM120A	HAd	2.57E-09	TRUE	0.24392571	-0.993516641	0.380026854	0.345160912	-0.17851827	-0.285080222	0.975917318
89	FASTKD2	HAd	0.000525076	TRUE	0.720066805	-0.973747843	-0.940240207	0.061960748	0.966749636	0.672740021	-0.666259495
90	FMR1	HAd	0.000119798	TRUE	-0.350114614	-0.04650798	0.19029341	-0.595433019	-0.732860501	0.410239501	-0.40590345
91	FXR1	HAd	5.70E-05	TRUE	-0.457259389	-0.570060037	-0.366223595	0.465482914	0.410108286	0.405259383	0.533224281
92	FXR2	HAd	5.24E-12	TRUE	0.469115972	-0.734465783	-0.812528505	0.199774763	-0.803752333	0.315557198	0.210687042
93	GEMIN5	HAd	1.36E-11	TRUE	0.803771076	-0.072705558	0.114376198	0.806108052	-0.507461825	-0.06377438	0.166855178
94	GNL3	HAd	0.008757459	TRUE	0.705600073	-0.067195244	0.000600891	-0.642083744	0.142334407	-0.72476591	-0.625027039
95	GTF2F1	HAd	1.98E-15	TRUE	0.970071946	0.587626494	0.153725387	-0.840565542	0.367469754	0.51452139	0.598822721
96	HLTF	HAd	0.475121177	FALSE	-0.076488939	-0.727038216	0.178391131	0.994677142	-0.445984464	0.255213857	0.660421053
97	HNRNPA1	HAd	1.42E-09	TRUE	-0.986599047	-0.454136304	0.0877887	-0.762692823	-0.709617012	0.722488797	-0.651758184
98	HNRNPK	HAd	9.99E-08	TRUE	-0.472089556	-0.123599983	-0.552074663	-0.2126622	0.12286852	-0.255185246	-0.207859393
99	HNRNPM	HAd	0.000103442	TRUE	-0.077163371	-0.872168054	-0.436140771	-0.051212613	0.106229321	-0.73043882	0.431171082
100	HNRNPU	HAd	7.93E-20	TRUE	0.76002721	0.84316457	-0.719083202	-0.511868836	-0.566692336	0.834494972	0.58085829
101	HNRNPUL1	HAd	2.13E-08	TRUE	0.394171796	0.335354367	-0.819312531	0.822863746	0.392827256	0.967046726	0.491555707
102	IGF2BP1	HAd	29.6221898	FALSE	-0.295585988	-0.422697076	-0.764109628	-0.181370265	-0.204250975	-0.812828783	0.287585668
103	IGF2BP2	HAd	1.49E-09	TRUE	0.462387048	0.623623626	-0.312901701	0.139241547	-0.478269653	0.503558995	0.835180824
104	ILF3	HAd	5.85E-23	TRUE	-0.853710277	-0.011551854	-0.482552475	-0.329824813	0.956585636	0.868361098	0.24357725
105	KHDRBS1	HAd	2.82E-48	TRUE	0.155108445	0.535963395	-0.631182878	0.115973862	0.481917209	-0.161143147	-0.486119448
106	KHSRP	HAd	3.90E-45	TRUE	-0.504846263	0.119632817	-0.365695736	0.752559676	0.178373524	0.660575574	0.031234159
107	LARP4	HAd	0.07445825	FALSE	-0.561284039	0.961538556	0.71956474	0.897201457	0.065853977	-0.396846169	0.993076136
108	LARP7	HAd	6.82E-09	TRUE	-0.317141146	-0.506212039	-0.376133348	-0.944477573	-0.132799528	0.89737691	-0.524599726
109	LIN28B	HAd	0.045158955	TRUE	0.580534407	0.612030082	0.619513308	-0.97836159	-0.92863286	0.014043052	-0.207353205
110	LSM11	HAd	3.29E-06	TRUE	0.265729334	0.918482877	-0.591585379	0.333098995	0.306167468	-0.70807015	0.422392354
111	METAP2	HAd	3.39E-07	TRUE	0.375516008	0.530489228	-0.866095006	-0.537401643	0.431930126	0.687066683	0.091665411
112	MTPAP	HAd	3.31E-08	TRUE	0.406265773	0.990178759	-0.929720966	-0.638051211	-0.383087362	-0.444319599	-0.114490269
113	NCBP2	HAd	5.58E-11	TRUE	-0.581815443	0.700236846	0.600719438	-0.496779108	-0.164964041	-0.892600596	-0.795162635
114	NONO	HAd	7.66E-20	TRUE	-0.882383099	0.572760446	-0.597661429	0.829785649	-0.018064125	0.858940698	0.330677343
115	NPM1	HAd	0.008440032	TRUE	0.303246153	-0.320328716	0.768858316	0.21772311	-0.258172279	0.64757682	-0.453530671
116	NSUN2	HAd	0.103447723	FALSE	-0.308731361	0.478682814	0.270948562	-0.455515171	-0.246622432	-0.798036308	0.989774814
117	PPIL4	HAd	0.184783397	FALSE	-0.603463349	-0.978901902	0.702912021	-0.004914763	0.066754498	-0.376393851	-0.271615561
118	PRPF8	HAd	1.75E-06	TRUE	-0.579002463	-0.949410942	0.24550448	-0.302682929	0.587638062	-0.765034723	-0.894567704
119	PTBP1	HAd	8.59E-09	TRUE	-0.679479471	0.489587653	0.452147783	-0.845363657	0.126427692	-0.446100433	-0.580519891
120	PUM2	HAd	0.302493343	FALSE	-0.495491565	0.123212903	-0.27369573	0.436641806	0.697608059	0.481009794	-0.251561301
121	PUS1	HAd	5.18E-06	TRUE	-0.622487257	-0.479506408	0.148598583	0.962932389	-0.705581648	-0.395016507	0.657231502
122	QKI	HAd	9.18E-05	TRUE	0.986768715	-0.561968667	-0.283864161	0.235191295	0.992656698	-0.09616549	0.025573707
123	RBFOX2	HAd	0.001431338	TRUE	0.867418009	0.732006448	0.544279175	0.362227404	-0.054063684	-0.461422722	-0.215385279
124	RBM15	HAd	9.04E-54	TRUE	-0.527330012	-0.056551871	-0.692367005	-0.316874514	-0.875904419	0.102040451	-0.163438562
125	RBM22	HAd	9.787765089	FALSE	0.151854721	0.344441307	0.23023556	0.236032373	-0.46330658	-0.069240832	0.8153466
126	RBM27	HAd	9.33E-10	TRUE	0.430909354	-0.620694871	-0.31955673	-0.594526285	0.393350443	0.892259642	0.193736409
127	RPS11	HAd	5.36E-06	TRUE	-0.894728856	0.211230928	0.446883937	-0.675804413	-0.585244925	0.968708474	-0.384670202
128	RPS5	HAd	8.04E-05	TRUE	-0.130142923	-0.245584486	-0.633233009	-0.817222511	0.458893083	-0.631227741	0.065986164
129	SAFB2	HAd	4.16E-11	TRUE	0.458694543	-0.960857547	-0.57685499	-0.433673603	-0.348971608	0.991324751	0.770297293
130	SBDS	HAd	0.002424293	TRUE	0.41161792	0.581998285	0.924180946	-0.650139005	0.810302766	-0.081946758	0.490221832
131	SERBP1	HAd	0.006953316	TRUE	0.691784566	-0.642534175	-0.867695246	0.362887642	-0.134787448	0.121239571	-0.134933664
132	SF3B4	HAd	1.39E-11	TRUE	-0.07032644	0.21815692	-0.952666429	0.649351356	0.918259295	0.483212923	0.263507453
133	SLBP	HAd	0.002655317	TRUE	-0.683414611	-0.463511939	-0.30436114	0.972471241	0.649526879	-0.782386351	-0.347472944
134	SLTM	HAd	2.43E-28	TRUE	-0.313224271	-0.041038405	-0.635214759	0.059780039	-0.191261113	0.257427823	-0.996208826
135	SMNDC1	HAd	2.38E-13	TRUE	0.714630801	-0.644057567	-0.818825184	-0.672330076	-0.929554957	-0.603695105	0.034472771
136	SND1	HAd	0.000118681	TRUE	0.072583797	0.682878201	0.584934598	-0.784093457	-0.916723269	0.223716857	-0.16580027
137	SRSF1	HAd	5.54E-11	TRUE	0.033944883	0.698691259	0.669985956	-0.902227881	0.88329324	-0.853658529	-0.302496252
138	SRSF7	HAd	9.77E-06	TRUE	-0.752907124	-0.899869658	0.177631642	-0.801877215	0.339630057	0.614551676	-0.97677985
139	TAF15	HAd	2.11E-05	TRUE	-0.331370665	0.722815594	-0.96324859	0.294008913	0.694254176	0.717154598	0.104416769
140	TARDBP	HAd	0.093278022	FALSE	-0.102413005	-0.823029143	-0.463440397	-0.555801456	0.914470777	0.355732895	-0.491530921
141	TBRG4	HAd	8.25E-06	TRUE	0.584374129	-0.488781446	-0.591923416	0.332166696	0.611299651	-0.046205107	0.94620733
142	TIA1	HAd	6.02E-06	TRUE	-0.61681384	0.712148339	0.400970736	-0.238994529	-0.509348203	-0.237759896	-0.853873627
143	TNRC6A	HAd	0.021769923	TRUE	0.95813607	0.091255158	0.973426531	0.717170145	0.793359375	0.577679932	0.976190141
144	TRA2A	HAd	2.76E-09	TRUE	-0.129008177	-0.90432303	0.10546133	-0.463698938	0.742594683	0.280775462	0.109924245
145	TROVE2	HAd	8.43E-07	TRUE	0.516226701	0.293445255	-0.181125434	0.773379757	-0.169294853	0.80765268	-0.549111416
146	U2AF1	HAd	0.008316518	TRUE	0.880736865	-0.782443868	-0.192828492	-0.574459666	-0.187329078	0.643723533	0.966826849
147	U2AF2	HAd	0.004184626	TRUE	0.564546087	0.558986017	0.00126453	0.07784509	0.309068583	0.443940105	-0.988783652
148	UCHL5	HAd	1.63E-05	TRUE	0.534649403	-0.226023966	-0.545260015	0.476631722	-0.521198873	-0.15773432	0.862688165
149	UPF1	HAd	4.64E-05	TRUE	0.121190389	0.302813346	0.417847663	0.272717461	-0.553178931	0.513141299	0.576326217
150	XRCC6	HAd	1.24E-05	TRUE	-0.104014323	0.878930522	-0.684800412	-0.746955789	-0.492467587	-0.746623353	-0.117091782
151	XRN2	HAd	2.11E-19	TRUE	0.01200567	0.116397198	-0.194202521	-0.61314732	0.724392356	-0.266077276	-0.080108927
152	YBX3	HAd	4.81E-08	TRUE	-0.327467446	0.06253838	-0.433005871	-0.67070895	-0.212367322	-0.846723954	-0.103865769
153	YWHAG	HAd	3.38E-10	TRUE	-0.494081746	0.670875009	0.22894249	0.181644113	-0.908678374	0.02744981	-0.094356909
154	ZNF622	HAd	1.81E-12	TRUE	0.509229528	0.167669724	0.778439632	-0.967563739	-0.865934556	-0.230402622	0.359344046
155	ZRANB2	HAd	5.05E-08	TRUE	0.252158495	-0.82189679	0.111357743	0.895767148	0.168241408	0.534862492	0.091198032
156	BUD13	K562	10.57171029	FALSE	0.388932765	0.024230224	-0.394236319	0.218043164	-0.721097201	-0.048167786	0.420244906
157	CPSF6	K562	6.55E-13	TRUE	-0.158900005	-0.589654096	-0.086255524	0.536194329	0.989507797	0.005777855	0.17965866
158	CSTF2T	K562	5.36E-09	TRUE	0.102209401	-0.141841231	0.125886451	0.148428666	-0.418795521	-0.240574669	0.688045573
159	DDX24	K562	2.29E-13	TRUE	-0.493002956	0.272830131	-0.192647222	-0.565506025	-0.428711839	0.840188523	0.421238995
160	DDX3X	K562	4.55E-06	TRUE	-0.139469897	-0.040866241	0.364878772	-0.274993398	-0.875833941	-0.015804591	0.953151966
161	DDX42	K562	7.53E-08	TRUE	0.096010012	-0.532219984	-0.62574819	-0.419922846	0.047540882	0.679560186	0.635816333
162	DDX55	K562	2.10E-06	TRUE	0.135822174	0.210204626	0.213392002	0.616382293	-0.680762401	-0.583358459	-0.797533079
163	DDX6	K562	4.37E-13	TRUE	0.745425328	0.729459547	0.54141984	0.423816574	0.089363779	0.433433415	0.874307111
164	DGCR8	K562	1.75E-12	TRUE	0.658636584	-0.413572412	-0.992541427	-0.672162877	-0.470093045	-0.889683295	0.817040296
165	DHX30	K562	8.66E-08	TRUE	-0.394909381	0.865442354	-0.490409495	-0.387781378	-0.738279974	0.332959963	-0.781442809
166	DROSHA	K562	1.92E-08	TRUE	-0.790364196	0.844290083	-0.668043432	0.149043427	0.522764192	0.326621372	-0.217344053
167	EFTUD2	K562	1.84E-20	TRUE	-0.725511785	-0.84509573	-0.217160815	-0.377130765	-0.521962277	-0.289086666	-0.626281705
168	EIF4G2	K562	8.63E-31	TRUE	0.183149728	-0.529246156	0.546124657	0.901159564	-0.068760932	-0.468238083	0.163512794
169	EWSR1	K562	2.57E-09	TRUE	0.88571509	0.150231623	0.446547995	-0.258876426	-0.72137236	-0.313466558	-0.247627026
170	FAM120A	K562	0.000525076	TRUE	-0.241760093	-0.383236909	0.246530052	0.306644665	0.265205633	-0.153391838	0.397343968
171	FASTKD2	K562	0.000119798	TRUE	-0.379726919	-0.117779193	-0.992850242	-0.545580629	-0.702602201	-0.485662244	-0.794016549
172	FMR1	K562	5.70E-05	TRUE	0.180548822	-0.67487886	-0.284727356	0.154248695	-0.867609958	0.186411035	-0.444864379
173	FXR1	K562	5.24E-12	TRUE	-0.703399892	-0.513926681	0.220326029	-0.128688207	0.184637768	-0.615400039	0.876236323
174	FXR2	K562	1.36E-11	TRUE	-0.588734753	-0.913576388	-0.957271269	-0.184319252	0.725243668	0.415659395	-0.419904067
175	GEMIN5	K562	0.008757459	TRUE	-0.868573201	-0.696811558	-0.095859565	-0.710839617	-0.478264848	-0.448874245	-0.650405348
176	GNL3	K562	1.98E-15	TRUE	0.034192471	-0.126727351	0.427901098	0.405991143	-0.571007641	-0.420126101	0.08611986
177	GTF2F1	K562	0.475121177	FALSE	-0.96611055	0.270892696	-0.640812568	-0.588531411	-0.978078539	0.470042762	0.820335854
178	HLTF	K562	1.42E-09	TRUE	0.829883615	-0.045768759	-0.523878144	-0.153792222	-0.3902736	0.815058396	0.98196333
179	HNRNPA1	K562	9.99E-08	TRUE	0.753073625	0.264706978	0.55736122	-0.518708967	-0.968776852	0.826410939	0.928254788
180	HNRNPK	K562	0.000103442	TRUE	0.440405289	0.409055675	-0.716683186	0.71618207	0.764094249	-0.764422366	-0.130158279
181	HNRNPM	K562	7.93E-20	TRUE	-0.068722648	0.076822746	0.241102299	-0.397004686	-0.314779193	-0.53699761	0.808542223
182	HNRNPU	K562	2.13E-08	TRUE	-0.579144983	-0.101797505	-0.740150301	0.82317478	0.184412005	0.140453468	-0.267506433
183	HNRNPUL1	K562	29.6221898	FALSE	0.727751642	-0.008254634	0.302153512	0.346633339	-0.247896498	0.916365525	0.899777434
184	IGF2BP1	K562	1.49E-09	TRUE	0.559709554	0.78524381	-0.771959151	0.985543268	0.033506273	-0.233165853	0.505982554
185	IGF2BP2	K562	5.85E-23	TRUE	-0.678804414	0.298149305	-0.780643998	-0.097745938	-0.634211765	-0.917425677	0.810476178
186	ILF3	K562	2.82E-48	TRUE	-0.669023475	-0.192340761	0.590281595	0.785383961	-0.50688686	-0.731962029	0.692913046
187	KHDRBS1	K562	3.90E-45	TRUE	0.464049287	-0.550175317	0.166267697	-0.780141344	0.642162989	0.819628093	0.612262616
188	KHSRP	K562	0.07445825	FALSE	-0.240584008	-0.302273662	-0.321971479	-0.639417845	-0.493253411	-0.770871264	-0.344717449
189	LARP4	K562	6.82E-09	TRUE	-0.368041402	-0.684984967	0.534319097	0.066762586	-0.890056598	0.140530297	-0.890488678
190	LARP7	K562	0.045158955	TRUE	-0.61285981	0.883663059	-0.882464153	0.746129465	-0.529278667	0.70775088	-0.869552224
191	LIN28B	K562	3.29E-06	TRUE	-0.072300141	0.618367105	0.544764826	0.255736761	-0.16106427	-0.912296329	-0.116004063
192	LSM11	K562	3.39E-07	TRUE	-0.274984641	0.322735689	0.408582408	-0.669376003	-0.43129767	-0.515886065	0.171180418
193	METAP2	K562	3.31E-08	TRUE	0.761971051	0.580768032	-0.907843331	0.415864136	0.043172391	-0.806223363	-0.948466411
194	MTPAP	K562	5.58E-11	TRUE	-0.837610224	-0.751995117	0.212675896	0.442969909	-0.841566585	-0.960395846	0.709151769
195	NCBP2	K562	7.66E-20	TRUE	0.453955293	-0.526129702	0.638087992	0.418349972	0.944807843	-0.047500901	0.872984774
196	NONO	K562	0.008440032	TRUE	0.765354023	0.207010848	-0.475654154	0.339720368	0.473137038	0.424026336	0.000422289
197	NPM1	K562	0.103447723	FALSE	0.67614276	-0.137328821	-0.979114988	-0.625986667	0.311421846	-0.862695203	-0.602296739
